LSOA code,LSOA name,lat_med,lon_med
W01000211,Denbighshire 012D,53.109754,-3.372624
W01000212,Denbighshire 003A,53.327535,-3.406309
W01000213,Denbighshire 002A,53.332405,-3.405293
W01000214,Denbighshire 002B,53.336407,-3.403164
W01000215,Denbighshire 002C,53.332350000000005,-3.392938
W01000216,Denbighshire 002D,53.334925,-3.401043
W01000217,Denbighshire 008C,53.315392,-3.412336
W01000218,Denbighshire 001A,53.33691,-3.411283
W01000219,Denbighshire 001B,53.3366,-3.423165
W01000220,Denbighshire 001C,53.3322015,-3.435242
W01000221,Denbighshire 003B,53.325617,-3.422454
W01000222,Denbighshire 003C,53.329896500000004,-3.42197
W01000223,Denbighshire 009B,53.304067,-3.467551
W01000224,Denbighshire 009C,53.292852,-3.4580685
W01000225,Denbighshire 009D,53.290692,-3.466701
W01000226,Denbighshire 004A,53.328213,-3.464425
W01000227,Denbighshire 004B,53.3250755,-3.477401
W01000228,Denbighshire 004C,53.324079,-3.484855
W01000229,Denbighshire 017E,53.313212,-3.460571
W01000230,Denbighshire 017F,53.312166,-3.473474
W01000231,Denbighshire 017A,53.321428,-3.472735
W01000232,Denbighshire 017B,53.319349,-3.462836
W01000233,Denbighshire 017C,53.316424,-3.469624
W01000234,Denbighshire 017G,53.315033,-3.4594
W01000235,Denbighshire 017D,53.3220675,-3.4627220000000003
W01000236,Denbighshire 006A,53.315533,-3.483842
W01000237,Denbighshire 006B,53.312136,-3.492862
W01000238,Denbighshire 006C,53.31851,-3.480569
W01000239,Denbighshire 004D,53.318173,-3.495983
W01000240,Denbighshire 004E,53.320423,-3.490721
W01000241,Denbighshire 004F,53.315247,-3.502745
W01000242,Denbighshire 014A,53.11363,-3.317113
W01000243,Denbighshire 014B,53.114771,-3.310649
W01000244,Denbighshire 014C,53.113016,-3.299941
W01000245,Denbighshire 010A,53.256792,-3.441199
W01000246,Denbighshire 010B,53.255365,-3.451124
W01000247,Denbighshire 010C,53.224735,-3.421799
W01000248,Denbighshire 008D,53.263305,-3.391823
W01000249,Flintshire 014A,53.172009,-3.105086
W01000250,Flintshire 014B,53.166291,-3.109139
W01000251,Flintshire 013A,53.191225,-3.0473235
W01000252,Flintshire 010A,53.200038,-3.039906
W01000253,Flintshire 003A,53.263176,-3.165617
W01000254,Flintshire 003B,53.276734,-3.189133
W01000255,Flintshire 015A,53.166687,-2.977998
W01000256,Flintshire 015B,53.162025,-3.001027
W01000257,Flintshire 015C,53.16329,-2.985904
W01000258,Flintshire 006A,53.244301,-3.203491
W01000259,Flintshire 017A,53.166554,-3.076228
W01000260,Flintshire 017B,53.164958,-3.073047
W01000261,Flintshire 014C,53.167224,-3.092693
W01000262,Flintshire 017C,53.164619,-3.083184
W01000263,Flintshire 017D,53.164549,-3.086884
W01000264,Flintshire 012A,53.169082,-3.083778
W01000265,Flintshire 012B,53.173159,-3.088595
W01000266,Flintshire 017E,53.169356,-3.076755
W01000267,Flintshire 017F,53.172417,-3.057634
W01000268,Flintshire 013B,53.174492,-3.073155
W01000269,Flintshire 020A,53.108787,-3.038077
W01000270,Flintshire 006B,53.23433,-3.24946
W01000271,Flintshire 006C,53.245734999999996,-3.306377
W01000272,Flintshire 006D,53.194948,-3.218882
W01000273,Flintshire 007A,53.216977,-3.065205
W01000274,Flintshire 007B,53.219505,-3.057661
W01000275,Flintshire 007C,53.223044,-3.070632
W01000276,Flintshire 008A,53.219697,-3.075945
W01000277,Flintshire 008B,53.21372,-3.074558
W01000278,Flintshire 007D,53.221641,-3.069165
W01000279,Flintshire 008C,53.212685,-3.064606
W01000280,Flintshire 010B,53.205475,-3.0739609999999997
W01000281,Flintshire 008D,53.213656,-3.068015
W01000282,Flintshire 010C,53.209053,-3.074367
W01000283,Flintshire 008E,53.21451,-3.048513
W01000284,Flintshire 013C,53.184082,-3.053089
W01000285,Flintshire 013D,53.18679,-3.046501
W01000286,Flintshire 013E,53.189462,-3.058417
W01000287,Flintshire 001A,53.347663,-3.318979
W01000288,Flintshire 004A,53.248501,-3.13247
W01000289,Flintshire 005A,53.246712,-3.150246
W01000290,Flintshire 004B,53.249731,-3.136551
W01000291,Flintshire 005B,53.240657,-3.145164
W01000292,Flintshire 004C,53.242726,-3.125558
W01000293,Flintshire 004D,53.241467,-3.122404
W01000294,Flintshire 005C,53.237443,-3.136712
W01000295,Flintshire 005D,53.244056,-3.136835
W01000296,Flintshire 003C,53.288195,-3.211832
W01000297,Flintshire 003D,53.285731,-3.2170490000000003
W01000298,Flintshire 001B,53.337628,-3.36073
W01000299,Flintshire 019A,53.172006,-3.191211
W01000300,Flintshire 019B,53.155078,-3.1689309999999997
W01000301,Flintshire 006E,53.223779,-3.1816
W01000302,Flintshire 013F,53.185108,-3.027674
W01000303,Flintshire 018A,53.14299,-3.005561
W01000304,Flintshire 003E,53.274276,-3.221535
W01000305,Flintshire 003F,53.275649,-3.21147
W01000306,Flintshire 002A,53.279437,-3.235472
W01000307,Flintshire 020B,53.122569,-3.033733
W01000308,Flintshire 020C,53.115897,-3.034922
W01000309,Flintshire 019C,53.133547,-3.09188
W01000310,Flintshire 020D,53.097661,-3.055331
W01000311,Flintshire 011A,53.193943,-3.019444
W01000312,Flintshire 011B,53.202477,-3.022518
W01000313,Flintshire 016A,53.162096,-3.1373
W01000314,Flintshire 016B,53.166732,-3.143241
W01000315,Flintshire 016C,53.167394,-3.137446
W01000316,Flintshire 016D,53.166518,-3.154551
W01000317,Flintshire 016E,53.160365,-3.149156
W01000318,Flintshire 016F,53.168735,-3.151092
W01000319,Flintshire 016G,53.171147,-3.144273
W01000320,Flintshire 002B,53.308202,-3.256862
W01000321,Flintshire 014D,53.172747,-3.113864
W01000322,Flintshire 014E,53.165766,-3.124812
W01000323,Flintshire 012C,53.207214500000006,-3.1333795
W01000324,Flintshire 012D,53.1895665,-3.131166
W01000325,Flintshire 010D,53.20113,-3.094999
W01000326,Flintshire 018B,53.144707,-3.046801
W01000327,Flintshire 018C,53.153848,-3.04045
W01000328,Flintshire 011C,53.200081,-3.010208
W01000329,Flintshire 015D,53.178402,-2.944775
W01000330,Flintshire 015E,53.17655,-2.927676
W01000331,Flintshire 015F,53.176384,-2.934223
W01000332,Flintshire 009A,53.218168,-3.005562
W01000333,Flintshire 009B,53.2144305,-3.011124
W01000334,Flintshire 009C,53.209851,-3.036191
W01000335,Flintshire 009D,53.203176,-3.038003
W01000336,Flintshire 009E,53.20638,-3.032749
W01000337,Flintshire 009F,53.212808,-3.040681
W01000338,Flintshire 001C,53.309085,-3.326532
W01000339,Flintshire 019D,53.114874,-3.121596
W01000340,Flintshire 002C,53.279582,-3.272569
W01000341,Wrexham 023C,53.057294,-2.98179
W01000342,Wrexham 023E,53.057981,-2.988327
W01000343,Wrexham 023B,53.0616755,-2.9726235
W01000344,Wrexham 023A,53.065757,-2.978076
W01000345,Wrexham 018A,53.002678,-2.884087
W01000346,Wrexham 018B,52.965088,-2.7731355
W01000347,Wrexham 006A,53.066397,-3.052023
W01000348,Wrexham 006B,53.078611,-3.059604
W01000349,Wrexham 011A,53.045958,-3.00825
W01000350,Wrexham 011B,53.045249,-3.000834
W01000351,Wrexham 005A,53.074892,-3.041241
W01000354,Wrexham 017A,52.978805,-3.077562
W01000355,Wrexham 017B,52.976283,-3.07021
W01000356,Wrexham 017C,52.968113,-3.070192
W01000359,Wrexham 019C,52.946818,-3.054967
W01000360,Wrexham 019D,52.942486,-3.056901
W01000361,Wrexham 019E,52.9348,-3.055772
W01000362,Wrexham 006C,53.053813,-3.060922
W01000363,Wrexham 006D,53.05539,-3.0725785
W01000364,Wrexham 006E,53.052708,-3.067936
W01000365,Wrexham 011C,53.041737,-2.994514
W01000366,Wrexham 014A,53.030876,-3.027251
W01000367,Wrexham 014B,53.033497,-3.023559
W01000368,Wrexham 008A,53.063322,-2.99274
W01000369,Wrexham 021B,53.088074,-2.971997
W01000370,Wrexham 021D,53.08461,-2.973233
W01000371,Wrexham 008B,53.054149,-2.998229
W01000372,Wrexham 008C,53.048053,-2.996436
W01000373,Wrexham 005B,53.060169,-3.036206
W01000374,Wrexham 003A,53.073414,-3.017251
W01000375,Wrexham 003B,53.069581,-3.003487
W01000376,Wrexham 003C,53.07893,-3.0083
W01000377,Wrexham 004A,53.079362,-3.029515
W01000378,Wrexham 004B,53.075273,-3.026889
W01000379,Wrexham 004C,53.071181,-3.023845
