LSOA code,LSOA name,forecast_month,pred_next,fill_color
W01000110,Gwynedd 006D,2026-02-01,5.947596357780763,"[255, 235, 235, 180]"
W01000111,Gwynedd 007C,2026-02-01,36.60785341883642,"[255, 183, 183, 180]"
W01000112,Gwynedd 008D,2026-02-01,9.106135380418682,"[255, 229, 229, 180]"
W01000113,Gwynedd 009C,2026-02-01,9.859601900212658,"[255, 228, 228, 180]"
W01000114,Gwynedd 009D,2026-02-01,6.353614486974423,"[255, 234, 234, 180]"
W01000115,Gwynedd 003E,2026-02-01,7.556434304538231,"[255, 232, 232, 180]"
W01000116,Gwynedd 017D,2026-02-01,4.996748255292612,"[255, 236, 236, 180]"
W01000117,Gwynedd 017E,2026-02-01,8.270853515832052,"[255, 231, 231, 180]"
W01000118,Gwynedd 007D,2026-02-01,5.554712285126456,"[255, 235, 235, 180]"
W01000119,Gwynedd 004D,2026-02-01,10.054624346457576,"[255, 228, 228, 180]"
W01000121,Conwy 015A,2026-02-01,7.769517572917599,"[255, 231, 231, 180]"
W01000122,Conwy 014A,2026-02-01,8.257067740653246,"[255, 231, 231, 180]"
W01000123,Conwy 013A,2026-02-01,10.735277965189583,"[255, 227, 227, 180]"
W01000124,Conwy 012A,2026-02-01,4.3591921487313625,"[255, 237, 237, 180]"
W01000125,Conwy 013B,2026-02-01,4.5147128173391975,"[255, 237, 237, 180]"
W01000126,Conwy 009A,2026-02-01,10.96608538090226,"[255, 226, 226, 180]"
W01000127,Conwy 009B,2026-02-01,10.674907188234878,"[255, 227, 227, 180]"
W01000128,Conwy 009C,2026-02-01,17.889853548369395,"[255, 215, 215, 180]"
W01000129,Conwy 012B,2026-02-01,7.051384603794493,"[255, 233, 233, 180]"
W01000130,Conwy 012C,2026-02-01,13.61787077660424,"[255, 222, 222, 180]"
W01000131,Conwy 012D,2026-02-01,5.757697577147641,"[255, 235, 235, 180]"
W01000132,Conwy 001A,2026-02-01,12.681530662274831,"[255, 223, 223, 180]"
W01000133,Conwy 002A,2026-02-01,4.461871831298442,"[255, 237, 237, 180]"
W01000134,Conwy 015B,2026-02-01,22.64623089815564,"[255, 207, 207, 180]"
W01000135,Conwy 006A,2026-02-01,3.353344226070104,"[255, 239, 239, 180]"
W01000136,Conwy 006B,2026-02-01,7.39533944941776,"[255, 232, 232, 180]"
W01000137,Conwy 015C,2026-02-01,3.11500419062399,"[255, 239, 239, 180]"
W01000138,Conwy 008A,2026-02-01,14.876022243650175,"[255, 220, 220, 180]"
W01000139,Conwy 007A,2026-02-01,13.721253763524084,"[255, 221, 221, 180]"
W01000140,Conwy 010B,2026-02-01,12.276104247845888,"[255, 224, 224, 180]"
W01000141,Conwy 010C,2026-02-01,4.257846393689333,"[255, 237, 237, 180]"
W01000142,Conwy 010D,2026-02-01,4.971613428408284,"[255, 236, 236, 180]"
W01000143,Conwy 007B,2026-02-01,19.125091922768796,"[255, 212, 212, 180]"
W01000144,Conwy 007C,2026-02-01,62.760755518102975,"[255, 139, 139, 180]"
W01000145,Conwy 008B,2026-02-01,14.062504897833476,"[255, 221, 221, 180]"
W01000146,Conwy 001B,2026-02-01,57.15520243171471,"[255, 149, 149, 180]"
W01000147,Conwy 001C,2026-02-01,8.162887520386851,"[255, 231, 231, 180]"
W01000148,Conwy 015D,2026-02-01,3.4354420393879965,"[255, 239, 239, 180]"
W01000149,Conwy 005A,2026-02-01,11.748410954673428,"[255, 225, 225, 180]"
W01000150,Conwy 005B,2026-02-01,6.009803192468926,"[255, 234, 234, 180]"
W01000151,Conwy 005C,2026-02-01,12.824513147627913,"[255, 223, 223, 180]"
W01000152,Conwy 005D,2026-02-01,13.047401130021703,"[255, 223, 223, 180]"
W01000153,Conwy 009D,2026-02-01,10.573122561705565,"[255, 227, 227, 180]"
W01000154,Conwy 003A,2026-02-01,6.80369719238774,"[255, 233, 233, 180]"
W01000155,Conwy 004A,2026-02-01,7.770557421541199,"[255, 231, 231, 180]"
W01000156,Conwy 004B,2026-02-01,21.91825535911012,"[255, 208, 208, 180]"
W01000157,Conwy 004C,2026-02-01,17.69582416744751,"[255, 215, 215, 180]"
W01000158,Conwy 004D,2026-02-01,13.999799609848166,"[255, 221, 221, 180]"
W01000159,Conwy 014B,2026-02-01,2.5585159100061117,"[255, 240, 240, 180]"
W01000162,Conwy 014C,2026-02-01,6.287397343933403,"[255, 234, 234, 180]"
W01000163,Conwy 009E,2026-02-01,16.37154812883992,"[255, 217, 217, 180]"
W01000164,Conwy 009F,2026-02-01,4.974604638651004,"[255, 236, 236, 180]"
W01000165,Conwy 006C,2026-02-01,6.592560318112224,"[255, 233, 233, 180]"
W01000166,Conwy 006D,2026-02-01,18.123675769845214,"[255, 214, 214, 180]"
W01000167,Conwy 011C,2026-02-01,13.77185169593736,"[255, 221, 221, 180]"
W01000168,Conwy 002B,2026-02-01,22.093668880966213,"[255, 207, 207, 180]"
W01000169,Conwy 001D,2026-02-01,46.42893247289213,"[255, 167, 167, 180]"
W01000170,Conwy 013C,2026-02-01,8.644409125179957,"[255, 230, 230, 180]"
W01000171,Conwy 013D,2026-02-01,9.673526569628164,"[255, 228, 228, 180]"
W01000172,Conwy 013E,2026-02-01,6.648748227835171,"[255, 233, 233, 180]"
W01000173,Conwy 003B,2026-02-01,4.66699057827435,"[255, 237, 237, 180]"
W01000174,Conwy 003C,2026-02-01,4.3116865160174624,"[255, 237, 237, 180]"
W01000175,Conwy 003D,2026-02-01,2.997439409610087,"[255, 239, 239, 180]"
W01000176,Conwy 011D,2026-02-01,18.227431498517472,"[255, 214, 214, 180]"
W01000177,Conwy 011E,2026-02-01,4.993679748037075,"[255, 236, 236, 180]"
W01000178,Conwy 010E,2026-02-01,29.928834892087604,"[255, 194, 194, 180]"
W01000179,Conwy 010F,2026-02-01,11.291851541719517,"[255, 226, 226, 180]"
W01000180,Conwy 008C,2026-02-01,3.891448306971433,"[255, 238, 238, 180]"
W01000181,Conwy 008D,2026-02-01,3.127337913906541,"[255, 239, 239, 180]"
W01000182,Conwy 007D,2026-02-01,30.795050650061512,"[255, 193, 193, 180]"
W01000183,Conwy 008E,2026-02-01,9.320138378444208,"[255, 229, 229, 180]"
W01000184,Conwy 005E,2026-02-01,30.054555160400785,"[255, 194, 194, 180]"
W01000185,Conwy 015E,2026-02-01,3.834657555912652,"[255, 238, 238, 180]"
W01000186,Conwy 001E,2026-02-01,51.5701892056888,"[255, 158, 158, 180]"
W01000187,Conwy 002C,2026-02-01,27.45085602324732,"[255, 198, 198, 180]"
W01000188,Conwy 002D,2026-02-01,9.451172358918324,"[255, 229, 229, 180]"
W01000189,Conwy 015F,2026-02-01,2.9974704932152947,"[255, 239, 239, 180]"
W01000190,Conwy 014D,2026-02-01,4.967650189400093,"[255, 236, 236, 180]"
W01000191,Denbighshire 009A,2026-02-01,31.74814373361315,"[255, 191, 191, 180]"
W01000192,Denbighshire 016A,2026-02-01,4.218618687545693,"[255, 237, 237, 180]"
W01000193,Denbighshire 015A,2026-02-01,8.694979803101038,"[255, 230, 230, 180]"
W01000194,Denbighshire 011A,2026-02-01,25.006736099689864,"[255, 203, 203, 180]"
W01000195,Denbighshire 012A,2026-02-01,3.2238784151531497,"[255, 239, 239, 180]"
W01000196,Denbighshire 012B,2026-02-01,8.00239844606906,"[255, 231, 231, 180]"
W01000197,Denbighshire 012C,2026-02-01,5.485912069899054,"[255, 235, 235, 180]"
W01000198,Denbighshire 011B,2026-02-01,20.1134173201535,"[255, 211, 211, 180]"
W01000199,Denbighshire 011C,2026-02-01,16.550170550330066,"[255, 217, 217, 180]"
W01000200,Denbighshire 008A,2026-02-01,3.56423564857655,"[255, 239, 239, 180]"
W01000201,Denbighshire 008B,2026-02-01,12.382598682929212,"[255, 224, 224, 180]"
W01000202,Denbighshire 015B,2026-02-01,4.376996696587255,"[255, 237, 237, 180]"
W01000203,Denbighshire 013A,2026-02-01,8.253068032986908,"[255, 231, 231, 180]"
W01000204,Denbighshire 013B,2026-02-01,2.629054734969143,"[255, 240, 240, 180]"
W01000205,Denbighshire 016B,2026-02-01,2.7112870929523876,"[255, 240, 240, 180]"
W01000206,Denbighshire 013C,2026-02-01,7.117862370154504,"[255, 233, 233, 180]"
W01000207,Denbighshire 015C,2026-02-01,6.761280330257525,"[255, 233, 233, 180]"
W01000208,Denbighshire 016C,2026-02-01,14.704801416548207,"[255, 220, 220, 180]"
W01000209,Denbighshire 016D,2026-02-01,13.595569827183578,"[255, 222, 222, 180]"
W01000210,Denbighshire 016E,2026-02-01,7.110842199760554,"[255, 233, 233, 180]"
W01000211,Denbighshire 012D,2026-02-01,5.7720598057815415,"[255, 235, 235, 180]"
W01000212,Denbighshire 003A,2026-02-01,8.952248729770634,"[255, 229, 229, 180]"
W01000213,Denbighshire 002A,2026-02-01,21.259752969623175,"[255, 209, 209, 180]"
W01000214,Denbighshire 002B,2026-02-01,34.08601216606046,"[255, 187, 187, 180]"
W01000215,Denbighshire 002C,2026-02-01,2.405962131582474,"[255, 240, 240, 180]"
W01000216,Denbighshire 002D,2026-02-01,14.442011509745653,"[255, 220, 220, 180]"
W01000217,Denbighshire 008C,2026-02-01,11.597824865160014,"[255, 225, 225, 180]"
W01000218,Denbighshire 001A,2026-02-01,17.24895975815902,"[255, 216, 216, 180]"
W01000219,Denbighshire 001B,2026-02-01,13.0595547878234,"[255, 223, 223, 180]"
W01000220,Denbighshire 001C,2026-02-01,6.594439047483787,"[255, 233, 233, 180]"
W01000221,Denbighshire 003B,2026-02-01,11.545880523112226,"[255, 225, 225, 180]"
W01000222,Denbighshire 003C,2026-02-01,5.135616793828838,"[255, 236, 236, 180]"
W01000223,Denbighshire 009B,2026-02-01,10.107905027737619,"[255, 228, 228, 180]"
W01000224,Denbighshire 009C,2026-02-01,6.952953814939444,"[255, 233, 233, 180]"
W01000225,Denbighshire 009D,2026-02-01,11.356019703635027,"[255, 225, 225, 180]"
W01000226,Denbighshire 004A,2026-02-01,15.168960559446463,"[255, 219, 219, 180]"
W01000227,Denbighshire 004B,2026-02-01,5.724030544645908,"[255, 235, 235, 180]"
W01000228,Denbighshire 004C,2026-02-01,16.12245869384348,"[255, 217, 217, 180]"
W01000229,Denbighshire 017E,2026-02-01,10.931173680361223,"[255, 226, 226, 180]"
W01000230,Denbighshire 017F,2026-02-01,9.673182063470078,"[255, 228, 228, 180]"
W01000231,Denbighshire 017A,2026-02-01,9.801262279890114,"[255, 228, 228, 180]"
W01000232,Denbighshire 017B,2026-02-01,6.550596542815672,"[255, 234, 234, 180]"
W01000233,Denbighshire 017C,2026-02-01,5.092384096948961,"[255, 236, 236, 180]"
W01000234,Denbighshire 017G,2026-02-01,18.943262582399424,"[255, 213, 213, 180]"
W01000235,Denbighshire 017D,2026-02-01,4.297441803732631,"[255, 237, 237, 180]"
W01000236,Denbighshire 006A,2026-02-01,40.495943348628415,"[255, 177, 177, 180]"
W01000237,Denbighshire 006B,2026-02-01,26.717974534782478,"[255, 200, 200, 180]"
W01000238,Denbighshire 006C,2026-02-01,19.493588161996716,"[255, 212, 212, 180]"
W01000239,Denbighshire 004D,2026-02-01,37.084822910079254,"[255, 182, 182, 180]"
W01000240,Denbighshire 004E,2026-02-01,107.37630212680263,"[255, 65, 65, 180]"
W01000241,Denbighshire 004F,2026-02-01,41.65411570749638,"[255, 175, 175, 180]"
W01000242,Denbighshire 014A,2026-02-01,12.982916654719522,"[255, 223, 223, 180]"
W01000243,Denbighshire 014B,2026-02-01,18.589348996139037,"[255, 213, 213, 180]"
W01000244,Denbighshire 014C,2026-02-01,3.9667193185569984,"[255, 238, 238, 180]"
W01000245,Denbighshire 010A,2026-02-01,9.775450144973192,"[255, 228, 228, 180]"
W01000246,Denbighshire 010B,2026-02-01,14.652800239578847,"[255, 220, 220, 180]"
W01000247,Denbighshire 010C,2026-02-01,6.228897188852882,"[255, 234, 234, 180]"
W01000248,Denbighshire 008D,2026-02-01,7.13090099871915,"[255, 233, 233, 180]"
W01000249,Flintshire 014A,2026-02-01,2.19463656478109,"[255, 241, 241, 180]"
W01000250,Flintshire 014B,2026-02-01,4.461225843465198,"[255, 237, 237, 180]"
W01000251,Flintshire 013A,2026-02-01,12.164137148587685,"[255, 224, 224, 180]"
W01000252,Flintshire 010A,2026-02-01,4.389422048231819,"[255, 237, 237, 180]"
W01000253,Flintshire 003A,2026-02-01,6.931649458427915,"[255, 233, 233, 180]"
W01000254,Flintshire 003B,2026-02-01,13.621880514236159,"[255, 222, 222, 180]"
W01000255,Flintshire 015A,2026-02-01,27.124226806370896,"[255, 199, 199, 180]"
W01000256,Flintshire 015B,2026-02-01,4.2103892469965665,"[255, 237, 237, 180]"
W01000257,Flintshire 015C,2026-02-01,4.154709422146231,"[255, 238, 238, 180]"
